text,CATEGORY_FORUMS,CATEGORY_PERSONAL,CATEGORY_PROMOTIONS,CATEGORY_SOCIAL,CATEGORY_UPDATES,IMPORTANT,INBOX,Label_2878974331142224262,Label_2953521746248741887,Label_4225263260769646991,Label_4252750704961950402,Label_6,Label_6487543333629621576,Label_7167721597166967836,STARRED,TRASH,UNREAD
"LWiAI Podcast #116 - ChatGPT plugins, AI hardware, petition to pause AI, Trump deepfakes",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
Moneyball,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
Why don’t we screen healthy people to catch diseases early?,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
"SWLW #540: Accountability is not blame, To benefit from AI your Organization’s Learning Loops must evolve, and more.",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
🤖 Midjourney kills free access,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"SUNIL R, your personal progress is now available.",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
📝 Guest Post: Switching from Spreadsheets to Experiment Tracker and How It Improved My Model Development Process*,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Your Daily Digest for Fri, Mar 31",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
📺  Tinky Winky is loaded,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
Don’t Mistake the Nasdaq-100’s Bear Market Escape for a Buy Signal,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
Appointment Reminder,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
"Judge strikes down Obamacare provision, what telehealth changes may mean for trans people, & a clue to disparities in breast cancer",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
IPO market expected to recover by 2024 / Startups use new metrics to impress VCs / Eskom commits $100M to VC investments,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Re: AAP LRHR 2022 pending,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Fwd: Personal tax information request 2022,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Personal tax information request 2022,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Re: AAP LRHR 2022 pending,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Re: AAP LRHR 2022 pending,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Lyft in Trouble,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"3-2-1: The most important habit, the difference between ambition and entitlement, and friendship",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
PATENT DROP: Google’s ego breaker,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
"Neha, it’s time to think about financing your studies and boosting your academic English",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
🤖 Could AI destroy humanity?,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
RE: AAP LRHR 2022 pending,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Consent to verify your documents - University of Surrey,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Twitter logo shifts to Dogecoin icon / Binance market share falls to the lowest rate since November / KuCoin Wallet rebrands as Halo Wallet,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Offer Extended: Get 40% More Points,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"See Van's and other people's connections, experience, and more",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
Our Sale Just Got Better: Now Up To FIFTY Percent Off!,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Re: Happy birthday dear Anu,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
New updates to your Brooklyn search,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
What tax deductions should you claim?,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
Want to learn something new?,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Reminder: 2023.03.29 - Dissolution Agreement - Kayiti.pdf - Shared from Box,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Re: Happy birthday dear Anu,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
⛔ Halting the 700 Million ARB Transfer,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Re: Happy birthday dear Anu,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Inside Alpaca: The Language Model from Stanford University that can Follow Instructions and Match GPT-3.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Re: Happy birthday dear Anu,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Booking 367149926: Here’s your updated e-ticket,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1
"Special report: Stanford’s president and science under the spotlight, synthetic biology’s dangers, & cancer drug shortages",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Happy birthday dear Anu,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Industrial policy doesn't have to succeed right away,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Anderson Renewal Invoice # 1047815,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
Re: Extension: Personal tax information,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Bob Lee killed in San Francisco, Meta releases image segmentation model",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Re: CTO - AI-Powered Slack for Healthcare - NEA, Lux Capital",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
Your tax form is available,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
Important Updates at CR of Maryland,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
Mining the deep sea,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Re: 2022 Tax Cash Flow spreadsheet needed,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
Spirit Airlines Flight Confirmation: WGUBSP,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0
Your booking is confirmed! (reference:  11531677759),0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
Booking successful: eDreams Ref. #11531677759,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0
How we built something useful,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"Booking 367149926: Your booking is confirmed, Sunil",0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
Booking 367149926: We got your payment and we’re on it!,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
eTicket Itinerary and Receipt for Confirmation C4Y3MS,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0
Your Flight Receipt - SUNIL R KAYITI 15MAY23,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"SUNNY, Take a Look at Our Latest Newsletter",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Who runs Engineering processes? @ Irrational Exuberance,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
Fwd: Document from krishna.shastri12.@gmail.,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
🤖 U.S. President addresses AI dangers,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
Program Expiry,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Notification: Cancel Pulmonologist appt on Apr 12 @1:30 @ Wed Apr 5, 2023 12pm - 12:30pm (EDT) (sunil.kayiti@gmail.com)",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Booking 11529377419: Save up to 30$ on your next flight!,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Spirit Airlines Flight Confirmation: CJPSKQ,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Your booking is confirmed! (reference:  11529377419),0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Booking successful: eDreams Ref. #11529377419,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Important Message from Madison Park  - ARC Committee Meeting,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The improv instinct,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
An email from my younger self,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Your WEX HSA statement is now available,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
New statement and important disclosures available,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
2022 Annual Letter,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
How a Chinese battery company powers Turkey’s home-grown EVs,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
"Notification: chit chat  @ Tue Apr 4, 2023 6pm - 7pm (EDT) (sunil kayiti)",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Edge 279: Cross-Silo Federating Learning,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
📎 Hot perk: Basic office supplies,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
A Man Said He Was Fired for Being Too Shy After Only Three Weeks on the Job,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
OPEC Makes the Fed’s Job Harder. That May End Up Hurting Investors.,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
"Hospitals sharing personal data, STAT Madness winner, & how tech helps build trust among LA's unhoused",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
Bank weakness is how our economy cools off,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
"New Video: Strong demand, low inventory means fewer discounts for home buyers",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Your AutoPay Payment Reminder,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
How are we doing?,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"We are hurtling toward a glitchy, spammy, scammy, AI-powered internet",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"Last Week in AI #213: US police used Clearview AI 1 million times, Bing Chatbot gets ads, Midjourney ends free tri…",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"Invitation: chit chat  @ Tue Apr 4, 2023 6pm - 7pm (EDT) (sunil.kayiti@gmail.com)",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"The Game Developers Conference Fortified ARK’s Outlook On The Future Of Gaming, And More...",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
AutoPay Notice,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
You’re invited: Fidelity webinars through mid-April,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
Re: BGE - 231 North Rose Fwd: Service STOP Request Confirmation,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
An update on your 2022 K-1s for your AngelList investments (Diwali Realty),0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
